source,title,url,snippet,published_date,query,year,extracted,extraction_status
DAWN,The first Pakistan Banking Awards held in Karachi - Recent,https://aurora.dawn.com/news/1141468/the-first-pakistan-banking-awards-held-in-karachi,Habib Bank Limited also received two awards – in the 'Best Environmental Social and Governance' and 'Best Bank For Small Businesses & Agriculture' categories.,Not Found,HBL_STRICT,2016,,FAIL: Date Tag Not Found
DAWN,HBL celebrates 70 years of Pakistan - Recent - Aurora Magazine,https://aurora.dawn.com/news/1142498/hbl-celebrates-70-years-of-pakistan,"Being the 'Bank of the Nation', it was inevitable for HBL to roll out a 70 years' celebratory campaign. Like HBL, Pakistan's first English-language newspaper – ...",Not Found,HBL_STRICT,2017,,FAIL: Date Tag Not Found
DAWN,Daraz records revenue of Rs 3 billion during Big Friday sale,https://www.dawn.com/news/1373601,"Customers were able to enjoy additional discounts through EasyPay, JazzCash, Allied Bank Limited, Habib Bank Limited, Standard Chartered Bank, Muslim ...",Not Found,HBL_STRICT,2017,,FAIL: Date Tag Not Found
DAWN,A league of our own: How the PSL brand was built,http://www.dawn.com/news/1312858,"In came brands such as Habib Bank Limited (HBL) and Oye Hoye. Although HBL has its domestic cricket team, and that too of some repute, it had so far not ...",Not Found,HBL_STRICT,2017,,FAIL: Date Tag Not Found
DAWN,Basking in the spotlight - Recent - Aurora Magazine - Dawn,https://aurora.dawn.com/news/1141985/basking-in-the-spotlight,"Company: Habib Bank Limited Agencies: J. Walter Thompson, Mindshare Pakistan ... HBL Pakistan Super League Anthem. Diagram | Babar Sheikh. More options ...",Not Found,HBL_STRICT,2017,,FAIL: Date Tag Not Found
DAWN,Diary of a Careem-aholic - Herald Magazine - Dawn,http://herald.dawn.com/news/1153900,"“Let me put it this way: [Habib Bank Limited] is Pakistan's biggest commercial bank and it has created 15,000 jobs (he referenced their Wikipedia page).",Not Found,HBL_STRICT,2017,,FAIL: Date Tag Not Found
DAWN,Mansha Pasha and Ahmed Ali Butt star in HBL's new ...,https://images.dawn.com/news/1179901/mansha-pasha-and-ahmed-ali-butt-star-in-hbls-new-series-of-webisodes,"This content is a paid advertisement by HBL Pakistan and is not associated with, or necessarily reflective of the views of Images and Dawn.com and its editorial ...",Not Found,HBL_STRICT,2018,,FAIL: Date Tag Not Found
DAWN,Talking Heads - Recent - Aurora Magazine - Dawn,https://aurora.dawn.com/news/1142839/talking-heads,"Habib Bank for epitomising financial strength and trust and spawning new banks in the form of HBL, Bank AL Habib, Habib AG Zurich and Habib Metropolitan.",Not Found,HBL_STRICT,2018,,FAIL: Date Tag Not Found
DAWN,HBL marks another milestone with digital disbursement of ...,https://www.dawn.com/news/1464777,This content is a paid advertisement by HBL Pakistan and is not reflective of or associated with the views of DAWN.com or its editorial staff. Email. Your ...,Not Found,HBL_STRICT,2019,,FAIL: Date Tag Not Found
DAWN,Quaid Ke Habib - Aurora Magazine - Dawn,https://aurora.dawn.com/news/1143800/quaid-ke-habib,"The campaign centred on the contribution made by Mohamedali Habib, the founder of HMB (he also founded Habib Bank Limited ... HBL, Bank Al-Habib, HMB – it ...",Not Found,HBL_STRICT,2020,,FAIL: Date Tag Not Found
DAWN,Lighting up Pakistan's Banking Sector - Aurora Magazine,https://aurora.dawn.com/news/1144042/lighting-up-pakistans-banking-sector,... Habib Bank Limited (HBL). Overseas Pakistanis are used to more sophisticated and seamless banking services. “This in itself was a major challenge for SBP ...,Not Found,HBL_STRICT,2021,,FAIL: Date Tag Not Found
DAWN,News Archives for Latest - 2022-01-28,https://www.dawn.com/latest-news/2022-01-28,"HBL Pakistan Super League: Sultans open title defence with romp past Kings. Rizwan smashed an unbeaten 52 off 47 balls, smashing five fours and one six to ...",Not Found,HBL_STRICT,2022,,FAIL: Date Tag Not Found
DAWN,News Archives for Latest - 2022-01-22,https://www.dawn.com/latest-news/2022-01-22,"HBL Pakistan Super League: PCB hopes to keep up schedule, fears cancellation otherwise. With Covid cases rising, the PCB has prepared itself for virtually ...",Not Found,HBL_STRICT,2022,,FAIL: Date Tag Not Found
DAWN,HBL Pakistan Super League,https://www.dawn.com/psl2023/,"HBL Pakistan Super League: Intriguing battle in store as Qalandars, Sultans clash for spot in final. Qalandars won their maiden PSL title by beating the Sultans ...",Not Found,HBL_STRICT,2023,,FAIL: Date Tag Not Found
DAWN,PSL2023 Must Read - DAWN.COM,https://www.dawn.com/psl2023/must-read/,Dawn Logo Dawn HBL Pakistan Super League T20 Worldcup 2022 · Latest Exclusive Squads Schedule & Results Standings · The 6 winners of ...,Not Found,HBL_STRICT,2023,,FAIL: Date Tag Not Found
DAWN,Campaign Register (March-April 2023) - Creative - Aurora,https://aurora.dawn.com/news/1144782,Client: Habib Bank Limited . Brand: HBLPSL Brief: Jahan Fans wahan stadium ... Habib Bank Limited Habib Metropolitan Bank Hamdard Laboratories (Waqf) ...,Not Found,HBL_STRICT,2023,,FAIL: Date Tag Not Found
DAWN,Trends - PSL 2023,https://www.dawn.com/trends/psl-2023,HBL Pakistan Super League: Shaheen's Qalandars restore pride with romp over Gladiators ... Imad Wasim's team won by 67 runs in the eighth PSL match. Updated 20 ...,Not Found,HBL_STRICT,2023,,FAIL: Date Tag Not Found
DAWN,Talking Heads 2022 - People - Aurora Magazine - Dawn,https://aurora.dawn.com/news/1144575,"HBL-Pakistan Super League (HBL-PSL): Taps into the passion for cricket across the country, by marrying T20 cricket with corporate support from another of ...",Not Found,HBL_STRICT,2023,,FAIL: Date Tag Not Found
DAWN,Talking Heads 2023 - Aurora Magazine - Dawn,https://aurora.dawn.com/news/1144997/talking-heads-2023,"3 The introduction of mobile banking apps (HBL, Bank Alfalah, SCB etc.). E-commerce platforms facilitating convenient online shopping (Daraz, Telemart) ...",Not Found,HBL_STRICT,2024,,FAIL: Date Tag Not Found
DAWN,Agency Profiles 2023-24 - Aurora Magazine - Dawn,https://aurora.dawn.com/news/1145276/agency-profiles-2023-24,Top 5 Brands (Collateral): Habib Bank Limited | Jubilee Life | GGSK Pakistan | HBL Konnect. 5 New Clients: Not given. Breakdown of Business (Media): ...,Not Found,HBL_STRICT,2024,,FAIL: Date Tag Not Found
DAWN,HBL PSL 10 digital viewership soars past 100 million in ...,https://www.dawn.com/news/1905462,"In an exciting start to the HBL Pakistan Super League (PSL) season 10, the digital broadcast has achieved a remarkable milestone, crossing 103 million total ...",Not Found,HBL_STRICT,2025,,FAIL: Date Tag Not Found
DAWN,Trends - PSL2025 - DAWN.COM,https://www.dawn.com/trends/psl2025,HBL Pakistan Super League: Quetta Gladiators' fightback floors Karachi Kings. Gladiators steal the match by 5 runs for only their second victory this season as ...,Not Found,HBL_STRICT,2025,,FAIL: Date Tag Not Found
DAWN,News Archives for Latest - 2025-05-22,https://www.dawn.com/latest-news/2025-05-22,HBL Pakistan Super League: Clinical Gladiators down United to make final. Quetta Gladiators secure clinical 30-run victory over defending champions. Updated ...,Not Found,HBL_STRICT,2025,,FAIL: Date Tag Not Found
DAWN,News Archives for Latest - 2025-04-11,https://www.dawn.com/latest-news/2025-04-11,"HBL Pakistan Super League Tenth edition set to begin amid tough times for Pakistan cricket. The PSL 'X', as it has been named this year, also coincides with ...",Not Found,HBL_STRICT,2025,,FAIL: Date Tag Not Found
DAWN,News Archives for Latest - 2025-05-01,https://www.dawn.com/latest-news/2025-05-01,HBL Pakistan Super League: Raza stars as Qalandars end United's perfect run. 88-run victory sees Qalandars win for second time in two matches. Published 01 ...,Not Found,HBL_STRICT,2025,,FAIL: Date Tag Not Found
